합주실 이름,가격(시간당),기타 정보,네이버 지도,수용 인원 (오피셜),예약 방식,위치,장비,후기(요약)
그루브합주실 사당점 D룸,"₩15,000","악기대여 O, 주차 X",https://naver.me/FT0qLlvj,6,사이트 예약,"사당, 서울","Behringer BB410캐비넷, DIXON FUSE, Orange OB1-500 head, Orange crush pro 120, YAMAHA MOTIF ES7, YAMAHA S90XS, crush pro 412캐비넷","- 5인까진 무리 없이 가능
- [환경] 붙박이 에어컨 / 내부 화장실 깔끔"
그루브합주실 방배점 1번방,"₩17,000","악기대여 O, 주차 X",https://naver.me/xrP6nv4n,8,사이트 예약,"방배, 서울","Ampeg SVT610E, GRETSCH Renown, Laney R500H head, Orange super crush 100Head, PPC412AD 캐비넷, YAMAHA MOTIF ES7, YAMAHA S90XS, crush pro 412캐비넷",- [공통] 대여악기 상태 안좋음. 녹이 너무 많이 슬었음
그루브합주실 방배점 2번방,"₩17,000","악기대여 O, 주차 X",https://naver.me/xrP6nv4n,8,사이트 예약,"방배, 서울","Ampeg SVT610E, GRETSCH Renown, Laney R500H head, Orange super crush 100Head, PPC412AD 캐비넷, YAMAHA MOTIF ES7, YAMAHA S90ES, crush pro 412캐비넷",- [공통] 대여악기 상태 안좋음. 녹이 너무 많이 슬었음
그루브합주실 방배점 3번방,"₩15,000","악기대여 O, 주차 X",https://naver.me/xrP6nv4n,6,사이트 예약,"방배, 서울","Behringer BB410캐비넷, DIXON FUSE, Laney R500H head, Orange super crush 100Head, PPC412AD 캐비넷, YAMAHA MOTIF ES7, YAMAHA S90XS, crush pro 412캐비넷",- [공통] 대여악기 상태 안좋음. 녹이 너무 많이 슬었음
그루브합주실 방배점 4번방,"₩14,000","악기대여 O, 주차 X",https://naver.me/xrP6nv4n,5,사이트 예약,"방배, 서울","Behringer BB410캐비넷, DIXON FUSE, Laney R500H head, Orange super crush 100Head, YAMAHA MOTIF ES7, YAMAHA MOXF8, crush pro 412캐비넷",- [공통] 대여악기 상태 안좋음. 녹이 너무 많이 슬었음
그루브합주실 방배점 5번방,"₩14,000","악기대여 O, 주차 X",https://naver.me/xrP6nv4n,5,사이트 예약,"방배, 서울","Behringer BB410캐비넷, Behringer BX4500H Head, DIXON FUSE, Orange super crush 100Head, YAMAHA MOTIF ES7, YAMAHA MOXF8, crush pro 412캐비넷",- [공통] 대여악기 상태 안좋음. 녹이 너무 많이 슬었음
윤악당 대합주실,"₩25,000","악기대여 O, 주차 X",https://naver.me/xrPMC0wr,20,"네이버 예약, 사이트 예약","서울, 양재","Ampeg BA300-210, Laney 410A 캐비넷, Laney GH100L, Marshall MG100DFX, Pearl Reference, YAMAHA MODX8","- 정체를 알수없는 LANEY 앰프(노브 글씨 지워져서 써먹을수가없음)
- 소리 다 뭉개지는 죽기직전 마샬앰프
- 역에서 2~3블럭 떨어져있고 합주실 넓은게 유일한 장점"
윤악당 소합주실,"₩13,000","악기대여 O, 주차 X",https://naver.me/xrPMC0wr,4,"네이버 예약, 사이트 예약","서울, 양재","Ampeg BA108, Marshall Valvestate VS65R, Revers9 T903",
아지트합주실 R룸,"₩24,000","악기대여 O, 주차 O",https://naver.me/54VOJBkb,15,"네이버 예약, 전화","서울, 잠실","Ampeg SVT4 PRO, Marshall DSL 100H, Orange Dark Terror, TAMA Superstar, YAMAHA MOTIF7, YAMAHA S90XS","- [공통] 대여악기 좋고 다양
- [공통] 고양이 있음
- 방 넓고 사운드 잘 맞음"
아지트합주실 S룸,"₩21,000","악기대여 O, 주차 O",https://naver.me/54VOJBkb,12,"네이버 예약, 전화","서울, 잠실","Hartke HA3500, Marshall DSL 100H, Orange Dark Terror, Premier, YAMAHA MOTIF7, YAMAHA S90ES","- [공통] 대여악기 좋고 다양
- [공통] 고양이 있음
- 6명 내외가 적당한 사이즈"
